2,0,3,2001,1308697
2,1,0,2001,61831
2,0,0,2001,62847
4,1,2,2001,89537
3,0,1,2001,72009
1,0,3,2001,990941
5,1,0,2001,40782
3,0,1,2001,61579
1,0,0,2001,55832
3,1,2,2001,82833
3,0,3,2001,808386
1,0,3,2001,1013093
2,1,0,2001,42986
3,0,2,2001,120338
5,0,1,2001,75241
3,1,0,2001,12983
5,0,3,2001,899646
4,0,3,2001,783856
3,1,1,2001,62605
3,1,0,2001,34640
1,0,2,2001,136700
0,1,2,2001,159912
2,0,0,2001,66635
2,0,0,2001,72794
3,0,0,2001,35498
4,1,0,2001,29955
0,0,1,2001,153259
2,0,0,2001,92409
4,0,0,2001,29191
3,1,3,2001,587041
0,1,0,2001,26641
4,0,2,2001,115925
4,1,1,2001,81931
5,1,3,2001,651637
0,0,1,2001,144848
1,0,2,2001,172803
2,0,0,2001,47343
1,1,2,2001,113753
0,1,0,2001,68679
5,1,2,2001,106125
1,1,2,2001,134343
5,1,1,2001,56784
3,0,3,2001,792262
3,0,0,2001,48028
1,0,0,2001,62482
3,1,2,2001,82181
5,0,2,2001,140958
4,1,0,2001,22953
1,0,0,2001,76884
5,0,2,2001,138726
0,0,0,2001,58214
5,0,2,2001,143393
0,0,3,2001,1503322
5,0,3,2001,902382
1,0,3,2001,995607
5,0,3,2001,897740
5,1,1,2001,67769
2,1,3,2001,945482
3,1,0,2001,55194
2,1,0,2001,40871
3,1,0,2001,30755
1,0,2,2001,152601
1,1,1,2001,89319
4,1,1,2001,50370
1,1,2,2001,108628
3,1,0,2001,36512
4,1,2,2001,100330
5,1,3,2001,663080
5,0,2,2001,123182
1,0,1,2001,87686
2,1,2,2001,144838
2,1,3,2001,962002
5,0,2,2001,133208
5,0,3,2001,900179
0,0,3,2001,1508575
3,1,2,2001,78688
0,1,0,2001,46476
0,0,0,2001,69109
2,0,3,2001,1315696
4,1,3,2001,574519
4,0,0,2001,57317
2,0,0,2001,75716
2,0,1,2001,137220
1,0,2,2001,151858
4,1,3,2001,584592
4,1,2,2001,83213
0,1,2,2001,153463
2,1,2,2001,142461
3,1,3,2001,590815
4,0,2,2001,126338
5,0,1,2001,92998
4,1,3,2001,571174
1,0,2,2001,146455
4,0,2,2001,137674
4,1,2,2001,87486
1,1,0,2001,33489
5,0,2,2001,116365
2,1,3,2001,949774
4,1,0,2001,16770
4,1,2,2001,76909
1,0,3,2001,986960
2,0,0,2001,66437
2,1,2,2001,138299
2,0,1,2001,122143
3,1,2,2001,88643
5,1,2,2001,96035
0,1,2,2001,159479
2,1,2,2001,154168
4,1,1,2001,43485
2,1,3,2001,944590
0,1,0,2001,44960
2,0,2,2001,202441
4,0,0,2001,29839
2,0,1,2001,123846
4,0,2,2001,100732
2,1,2,2001,123631
1,1,0,2001,48699
5,1,1,2001,68581
2,1,0,2001,56669
1,0,2,2001,157633
3,1,3,2001,578828
2,0,3,2001,1319702
2,1,2,2001,137115
2,1,3,2001,956796
0,1,2,2001,167001
0,0,0,2001,74558
4,1,3,2001,577095
2,1,1,2001,106653
1,0,1,2001,108354
4,0,0,2001,48251
3,1,3,2001,583562
5,1,1,2001,77688
5,0,3,2001,899292
