2,0,3,1308697
2,1,0,61831
2,0,0,62847
4,1,2,89537
3,0,1,72009
1,0,3,990941
5,1,0,40782
3,0,1,61579
1,0,0,55832
3,1,2,82833
3,0,3,808386
1,0,3,1013093
2,1,0,42986
3,0,2,120338
5,0,1,75241
3,1,0,12983
5,0,3,899646
4,0,3,783856
3,1,1,62605
3,1,0,34640
1,0,2,136700
0,1,2,159912
2,0,0,66635
2,0,0,72794
3,0,0,35498
4,1,0,29955
0,0,1,153259
2,0,0,92409
4,0,0,29191
3,1,3,587041
0,1,0,26641
4,0,2,115925
4,1,1,81931
5,1,3,651637
0,0,1,144848
1,0,2,172803
2,0,0,47343
1,1,2,113753
0,1,0,68679
5,1,2,106125
1,1,2,134343
5,1,1,56784
3,0,3,792262
3,0,0,48028
1,0,0,62482
3,1,2,82181
5,0,2,140958
4,1,0,22953
1,0,0,76884
5,0,2,138726
0,0,0,58214
5,0,2,143393
0,0,3,1503322
5,0,3,902382
1,0,3,995607
5,0,3,897740
5,1,1,67769
2,1,3,945482
3,1,0,55194
2,1,0,40871
3,1,0,30755
1,0,2,152601
1,1,1,89319
4,1,1,50370
1,1,2,108628
3,1,0,36512
4,1,2,100330
5,1,3,663080
5,0,2,123182
1,0,1,87686
2,1,2,144838
2,1,3,962002
5,0,2,133208
5,0,3,900179
0,0,3,1508575
3,1,2,78688
0,1,0,46476
0,0,0,69109
2,0,3,1315696
4,1,3,574519
4,0,0,57317
2,0,0,75716
2,0,1,137220
1,0,2,151858
4,1,3,584592
4,1,2,83213
0,1,2,153463
2,1,2,142461
3,1,3,590815
4,0,2,126338
5,0,1,92998
4,1,3,571174
1,0,2,146455
4,0,2,137674
4,1,2,87486
1,1,0,33489
5,0,2,116365
2,1,3,949774
4,1,0,16770
4,1,2,76909
1,0,3,986960
2,0,0,66437
2,1,2,138299
2,0,1,122143
3,1,2,88643
5,1,2,96035
0,1,2,159479
2,1,2,154168
4,1,1,43485
2,1,3,944590
0,1,0,44960
2,0,2,202441
4,0,0,29839
2,0,1,123846
4,0,2,100732
2,1,2,123631
1,1,0,48699
5,1,1,68581
2,1,0,56669
1,0,2,157633
3,1,3,578828
2,0,3,1319702
2,1,2,137115
2,1,3,956796
0,1,2,167001
0,0,0,74558
4,1,3,577095
2,1,1,106653
1,0,1,108354
4,0,0,48251
3,1,3,583562
5,1,1,77688
5,0,3,899292
1,0,0,52934
2,1,2,131384
1,0,2,132029
0,1,1,117146
5,0,2,122511
3,0,0,48081
3,1,2,88604
3,0,0,29009
5,0,2,146707
5,0,1,89459
5,0,2,137167
5,0,1,90254
0,1,3,1092193
1,0,0,47328
5,0,2,144712
5,1,3,649493
3,0,3,803571
3,1,3,590313
5,1,3,675131
2,0,0,75705
1,0,3,991782
5,1,3,638427
3,0,3,792572
3,1,1,61642
0,0,0,66379
5,1,3,672699
4,1,2,78108
1,0,0,52042
0,1,3,1087483
4,1,0,36625
3,1,1,61215
3,1,1,65357
2,1,2,140154
5,1,0,44681
4,0,0,24960
4,0,3,792249
0,0,3,1506225
3,1,3,580311
2,0,2,187791
5,1,0,50938
0,0,3,1504081
1,1,2,96154
5,0,3,884437
4,0,3,794120
1,1,2,100631
2,0,0,61746
1,0,3,983641
1,1,1,62641
1,0,3,1015207
5,1,0,57102
1,1,1,81842
5,0,0,53360
4,0,3,810367
1,1,0,19258
1,0,2,161742
1,0,1,98250
0,1,1,95303
3,0,3,807652
4,1,1,55628
5,0,3,908185
0,0,3,1511931
5,0,1,96643
3,0,0,36007
2,1,1,97265
1,1,3,720685
0,1,2,155081
1,0,0,37240
4,1,1,60855
4,1,3,581198
1,1,0,27556
1,1,0,32834
3,1,1,74440
5,1,0,29370
3,1,0,31127
5,1,0,38635
2,1,0,33578
2,0,1,118691
4,0,2,143674
2,1,1,91399
5,1,3,648965
0,1,0,64707
1,1,0,28104
0,1,2,163769
0,1,1,106888
4,0,3,792628
